,stage,dow,birth,giv,gen,dob,dod,type,orig,pict,notes
992,Lynda Carter,,,,F,[1],199x,RU:,\Un,,|
993,T.K. Carter,,,,M,[1],199x,RU:,\Un,,|
994,Veronica Cartwright,1977-1979,Cartwright,Veronica,F,1949,199x,R:lead,\Am,,
995,Anthony Caruso,1940-1970,Caruso,Anthony,M,1913,199x,R:menace,\Am,,
996,Louise Carver,1923-1935,Murray,Louise Spilger,F,1898,1956,R:character,\Am,,
997,Maria Casares,1943-1976,Quiroga,Maria Casar\`es,F,1922,1996,"R:dark-eyed, solemn",\Fr-Sp,,
998,Bernie Casey,1969-1977,Casey,Bernie,M,,199x,R:character,\Am,,
999,Johnny Cash,1962-1970,Cash,Johnny,M,1932,199x,R:folk singer,\Am,,
1000,Rosalind Cash,1971-1976,Cash,Rosalind,F,1945,199x,R:lead,\Am,,
1001,John Cassavetes,1954-1983,Cassavetes,John,M,1929,1989,R:intense,\Am,[4.204],Also(D) Ww(Hitchcock)
1002,JeanPierre Cassel,1960-1975,Crochon,Jean-Pierre,M,1932,199x,R:lead,\Fr,,
1003,Seymour Cassel,1961-1979,Cassel,Seymour,M,1935,199x,R:character,\Am,,
1004,Jack Cassidy,1965,Cassidy,Jack,M,,1968,R:hitman,\Un,[34.309],Ww(Hitchcock) Nt(died in fire)
1005,Joanna Cassidy,1973-1982,Cassidy,Joanna,F,1944,199x,R:lead,\Am,,
1006,Ted Cassidy,1964-1977,Cassidy,Ted,M,1932,1979,R:character,\Am,,
1007,JeanPierre Castaldi,,,,M,[1],199x,RU:,\Un,,|
1008,Richard Castellano,1969-1972,Castellano,Richard,M,1931,199x,R:fat,\It-\Am,,
1009,William Castle,1974-1975,Schloss,William,M,1914,1977,R:gimmicky,\Am,,"Also(P,D)"
1010,Phoebe Cates,1982-1994,Cates,Phoebe,F,1963,199x,"R:cute, with it",\Am,,Mt(Kevin Kline)
1011,Walter Catlett,1924-1956,Catlett,Walter,M,1889,1960,R:flustered gestures,\Am,,
1012,Kim Cattrall,,,,F,[1],199x,RU:,\Un,,|
1013,Joan Caulfield,1946-1968,Caulfield,Joan,F,1922,1991,R:demure,\Am,,
1014,Olimpia Cavalli,,,,F,[1],199x,RU:,\Un,[4.46],
1015,Paul Cavanagh,1929-1959,Cavanagh,Paul,M,1895,1964,R:suave,\Br,,
1016,Hobart Cavanaugh,1927-1950,Cavanaugh,Hobart,M,1886,1950,R:mild-mannered,\Am,,
1017,Dick Cavett,,,,M,[1],199x,R:debonair,\Am,,
1018,Joseph Cawthorn,1927-1942,Cawthorn,Joseph,M,1868,1949,R:character,\Am,,
1019,John Cazale,1972-1978,Cazale,John,M,1936,1978,R:character,\Am,[4.68],
1020,Christopher Cazenove,,,,M,[1],199x,RU:,\Un,,|
1021,Adolfo Celi,1950-1982,Celi,Adolfo,M,1922,199x,R:solidly-built,\It,,
1022,Gino Cervi,1934-1964,Cervi,Gino,M,1901,1974,R:stocky,\It,,
1023,Renzo Cesana,,,,M,[1],199x,RU:,\Un,,|
1024,June Chadwick,,,,F,[1],199x,RU:,\Un,,|
1025,George Chakiris,1954-1980,Chakiris,George,M,1933,199x,R:lead,\Am,[4.565],
1026,William Challee,,,,M,[1],199x,RU:,\Un,,|
1027,Richard Chamberlain,1960-1983,Chamberlain,Richard,M,1935,199x,R:boyish,\Am,,
1028,Wilt Chamberlain,,,,M,[1],199x,RU:,\Un,,|
1029,Marilyn Chambers,,,,F,[1],199x,RU:,\Un,,|
1030,Marge Champion,1939-1968,Belcher,Majorie,F,1923,199x,R:dancer,\Am,,Si(Lina Basquette )
1031,Jackie Chan,1983-1988,Chan,Jack,M,[1],199x,R:cop,,,
1032,Chick Chandler,1933-1963,Chandler,Chick,M,1905,199x,R:wiry,\Am,,
1033,George Chandler,1930-1971,Chandler,George,M,1902,199x,"R:sly, comically nervous",\Am,,
1034,Helen Chandler,1927-1937,Chandler,Helen,F,1909,1965,R:lead,\Am,,
1035,Jeff Chandler,1947-1961,Grossel,Ira,M,1918,1961,R:lead,\Am,,
1036,Joan Chandler,1947-1949,Chandler,Joan,F,1923,1979,R:lead,\Am,,
1037,John Davis Chandler,1961-1977,Chandler,John Davis,M,1937,199x,"R:neurotic, twitching villain",\Am,,
1038,Simon Chandler,,,,M,[1],199x,RU:,\Un,,|
1039,Lon Chaney,1914-1930,Chaney,Alonzo,M,1883,1930,"R:macabre, distorted",\Am,,
1040,Lon Chaney~jr.,1932-1968,Chaney,Creighton,M,1906,1973,R:massive,\Am,,
1041,Carol Channing,,Channing,Carol,F,1921,199x,R:vivacious,\Am,,
1042,Margo Channing,,,,F,[1],199x,RU:,\Un,,|
1043,Stockard Channing,1973-1983,Channing,Susan,F,1944,199x,R:tomboy,\Am,,
1044,Charlie Chaplin,1914-1966,Chaplin,Sir Charlie,M,1889,1977,R:tramp,\Br,"[4.423, 281]","Mt(Lita Grey -1927,, Paulette Goddard, Oona) Aw(Hon AA, 1971) Aw(AFI#10)"
1045,Esme Chaplin,,,,F,[1],199x,RU:,\Un,,|
1046,Geraldine Chaplin,1965-1982,Chaplin,Geraldine,F,1944,199x,RU:,\Am,[4.54],Ch(Charlie Chaplin)
1047,Josephine Chaplin,,,,F,[1],199x,RU:,\Un,,|
1048,Oona Chaplin,,,,F,[1],1991,RU:,\Un,,Ch(Charlie Chaplin
1049,Sydney Chaplin,1952-1970,Chaplin,Sydney,M,1926,199x,RU:,\Un,,Ch(Charles Chaplin)
1050,Edward Chapman,1929-1964,Chapman,Edward,M,1901,1977,R:corrupt aldermen,\Br,,Ww(Hitchcock)
1051,Geraldine Chapman,,,,F,[1],199x,RU:,\Un,,|
1052,Graham Chapman,1978-1983,Chapman,Graham,M,,1989,R:character,\Br,,
1053,Lonny Chapman,1954-1979,Chapman,Lonny,M,,199x,R:character,\Am,,
1054,Marguerite Chapman,1940-1961,Chapman,Marguerite,F,1916,199x,R:dependable,\Am,,
1055,Cyd Charisse,1943-1972,Finklea,Tula Ellice,F,1921,199x,R:long-legged,\Am,,
1056,Bobby H. Charles,,,,M,[1],199x,RU:,\Un,,|
1057,Ray Charles,1965,Robinson,Ray Charles,M,1930,199x,R:blind musician,\Am,,
1058,Ian Charleson,1981-1982,Charleson,Ian,M,,1990,R:lead,\Br,,
1059,Henri Charrieri,,,,M,[1],199x,RU:,\Un,,|
1060,Spencer Charters,1923-1942,Charters,Spencer,M,1878,1943,R:rural fellow,\Am,,
1061,Charlie Chase,1929-1940,Parrott,Charles,M,1893,1940,R:toothbrush-moustached comedian,\Am,,
1062,Chevy Chase,1976-1983,Chase,Chevy,M,1949,199x,R:light lead,\Am,,Er(real fn)
1063,Stephen Chase,,,,M,[1],199x,RU:,\Un,,|
1064,Martine Chassaing,,,,F,[1],199x,RU:,\Un,,|
1065,Marvin Chatinover,,,,M,[1],199x,RU:,\Un,,|
1066,Soumitra Chatterjee,1960,Chatterjee,Soumitra,M,19bb,1998,R:romatic lead,\In dia (Bengali),,|
1067,Ruth Chatterton,1928-1938,Chatterton,Ruth,F,1893,1961,R:dignified,\Am,[4.280],
1068,Chubby Checker,1962-1962,Evans,Ernest,M,1941,199x,R:singer,,,|
1069,Michael Chekhov,1944-1954,Chekhov,Michael,M,1891,1955,R:dramatic,\Ru,,Ww(Hitchcock)
1070,Joan Chen,,,,F,[1],199x,RU:,\Un,,|
1071,Cher,1968-1983,Sarkisian,Cherilyn,F,1946,199x,R:pop singer,\Am,,"Mt(Sonny Bono, Altman)"
1072,Patrice Chereau,,,,F,[1],199x,RU:,\Un,,|
1073,Nicolai Cherkassov,1937-1954,Cherkassov,Nicolai,M,1903,1966,R:lead,\Ru,,
1074,Virginia Cherrill,1931-1935,Cherrill,Virginia,F,1908,199x,R:lead,\Am,,
1075,Arthur Chesney,,,,M,[1],199x,RU:,\Un,,|
1076,Helen Chester,,,,F,[1],199x,RU:,\Un,,|
1077,Leslie Cheung,dow,Cheung,Leslie,M,,199x,R:androgenous,\HK,,Nt(lives in \Ca)
1078,Anne Chevalier,1931,Reri,none,F,1915+,1975,R:exotic,\Ta,,
1079,Maurice Chevalier,1929-1967,Chevalier,Maurice,M,1888,1972,R:debonair,\Fr,[4.708],
1080,Walter Chiari,1951-1972,Annichiarico,Walter,M,1924,1991,R:comic,\It,,
1081,Sonny Chiba,,,,M,[1],199x,RU:,\Un,,|
1082,Lois Chiles,1973-1979,Chiles,Lois,F,1950,199x,R:lead,\Am,,
1083,Eric Chitty,1940-1977,Chitty,Eric,M,,199x,R:crotchety little men,\Br,,
1084,Rae Dawn Chong,1982,,,F,1961,199x,RU:,\Un,,Mt(C.Thomas Howell)
1085,Shelby Chong,,,,,[1],199x,RU:,\Un,,|
1086,Thomas Chong,,,,M,[1],199x,RU:,\Un,,|
1087,Sarita Choudhury,1992-1993,Choudhury,Sarita,F,[1],199x,R:beauty,,,
1088,Navin Chowdhury,,,,M,[1],199x,RU:,\Un,,|
1089,Linda Cristian,1963,,,F,,199x,R:two-timing chesty,\Un,[34.265],Ww(Hitchcock)
1090,Suzanne Christian,,,,F,,199x,RU:,\Un,,Mt(Stanley Kubrick)
1091,Audrey Christie,1952-1973,Christie,Audrey,F,1912,199x,R:Tough lady,\Am,,
1092,Julie Christie,1962-1983,Christie,Julie,F,1940,199x,R:striking,\Br,[4.193],
1093,Dave Dennis Christopher,1977-1982,Christopher,Dennis,M,1955,199x,R:lead,\Am,,
1094,Kay Christopher,,,,M,[1],199x,RU:,\Un,,|
1095,William Christopher,,,,M,,199x,RU:,\Un,,|
1096,International Chrysis,1993,bn,William,M,1951,1990,"R:beuitiful, exuberant transvestite",\Am,,"Er(dob, age at dod =39)"
1097,Berton Churchill,1924-1940,Churchill,Berton,M,1876,1940,R:forceful,\Ca,[4.1083],
1098,Sarah Churchill,1951,Churchill,"Sarah, Lady Audley",F,,1982,RU:,\Br,,
1099,Eduardo Cianelli,1933-1969,Cianelli,Eduardo,M,1887,1969,"R:finely etched features, incisive speech",\It,,
1100,Diane Cilento,1952-1982,Cilento,Diane,F,1933,199x,R:versatile,\Au,,"Mt(Sean Connery, Anthony Shaffer) W(Sleuth)"
1101,Michael Cimino,,Cimino,Michael,M,1940,199x,RU:,\Un,[4.166],"Mainly(W,D)"
1102,Augusta Ciolli,,,,F,[1],199x,RU:,\Un,,|
1103,Audrey Claire,,,,F,[1],199x,RU:,\Un,,|
1104,Ina Claire,1915-1943,Fagan,Ina,F,1892,1985,RU:,\Am,,
1105,Jimmy Clanton,,,,M,[1],199x,RU:,\Un,,|
1106,Gordon Clapp,,,,M,[1],199x,RU:,\Un,,|
1107,Eric Clapton,,,,M,[1],199x,RU:,\Un,,|
1108,Mary Clare,1924-1959,Clare,Mary,F,1894,1970,R:matron,\Br,,Ww(Hitchcock)
1109,O.B. Clarence,1914-1947,Clarence,O.B.,M,1870,1955,R:benevolent doddering,\Br,,
1110,D. Greydon Clark,,,,M,[1],199x,RU:,\Un,,|
1111,Candy Clark,1973-1983,Clark,Candy,F,1949,199x,R:lead,\Am,,
1112,Cliff Clark,,Clark,Cliff,M,1893,1953,R:stocky tough policeman,\Am,,
1113,Dane Clark,1943-1973,Zanville,Bernard,M,1913,199x,R:tough,\Am,,
1114,Ernest Clark,1949-1968,Clark,Ernest,M,1912,199x,R:tight-lipped,\Br,,
1115,Fred Clark,1947-1968,Clark,Fred,M,1914,1968,R:bald explosive,\Am,,
1116,Ken Clark,1956-1965,Clark,Ken,M,,199x,R:tough,\Am,,
1117,Marguerite Clark,1914-1921,Clark,Marguerite,F,1883,1940,R:plucky waif,\Am,,
1118,Petula Clark,1944-1981,Clark,Petula,F,1932,199x,R:singer,\Am,,
1119,Susan Clark,1967-1975,Clark,Susan,F,1940,199x,R:lead,\Ca,,
1120,Caitlin Clarke,,,,M,[1],199x,RU:,\Un,,|
1121,Sharon D. Clarke,,,,F,[1],199x,RU:,\Un,,|
1122,Warren Clarke,,,,M,[1],199x,RU:,\Un,,|
1123,D.A. ClarkeSmith,1930-1956,Clarke-Smith,D.A.,M,1888,1959,R:character,\Br,,Ww(Hitchcock: Sabotage 1936)
1124,Jill Clayburgh,1969-1983,Clayburgh,Jill,F,1945,199x,R:lead,\Am,,
1125,Ethel Clayton,1912-1939,Clayton,Ethel,F,1884,1966,R:silent star,\Am,,
1126,John Cleese,1968-1997,Cleese,John,M,1939,199x,R:tall bewildered,\Br,,Also(P)
1127,Pierre Clementi,1963-1978,Clementi,Pierre,M,1941,199x,R:lead,\Fr,,
1128,John Clements,1929-1942,Clements,Sir John,M,,1988,R:lead,\Br,,
1129,David Clendinning,,,,M,[1],199x,RU:,\Un,,|
1130,David Clennon,,,,M,[1],199x,RU:,\Un,,|
1131,Corinne Clery,,,,F,[1],199x,RU:,\Un,,|
1132,Jimmy Cliff,,,,M,[1],199x,RU:,\Un,,|
1133,Montgomery Clift,,Clift,Montgomery,M,1920,1966,R:introspective romantic,\Am,[4.170],Ww(Hitchcock)
1134,Colin Clive,1930-1937,Greig,Clive,M,1898,1937,"R:fraught, serious",\Br,,
1135,E.E. Clive,1933-1940,Clive,E.E.,M,1879,1940,R:amiable sour-faced,\Br,,ww(Hitchcock)
1136,Al Cliver,,,,M,[1],199x,RU:,\Un,,|
1137,George Clooney,-1997,Clooney,George,G,dob,199x,RU:,\Un,,Ch(SI(rosemary Clooney))
1138,Rosemary Clooney,1953-1954,Clooney,Rosemary,F,1928,199x,R:breezy singer,\Am,,Mt(Jose Ferrer) Lw(Dante DiPoalo)
1139,Glenn Close,1982-1989,Close,Glenn,F,1947,199x,R:wicked,\Am,[4.97],"Mt(,;) Lw(John Starke; P.)"
1140,Raymond Cloutier,,,,M,[1],199x,RU:,\Un,,|
1141,Suzanne Cloutier,1946-1961,Cloutier,Suzanne,F,1927,199x,R:lead,\Fr-\Ca,,
1142,Vera Clouzot,,Clouzot,Vera,F,1921,1960,RU:,Portugese,,Mt(H.G. Clouzot)
1143,Jennifer Cluff,,,,F,[1],199x,RU:,\Un,,|
1144,Alec Clunes,1940-1962,Clunes,Alec,M,1912,1970,RU:,\Br,,
1145,Andy Clyde,1928-1965,Clyde,Andy,M,1892,1967,R:acrobatic,\Br; Scots,[4.682],
1146,June Clyde,,,,F,[1],199x,RU:,\Un,,|
1147,Lee J. Cobb,1937-1975,Jacoby,Leo,M,1911,1976,R:powerful,\Am,,
1148,Charles Coburn,1933-1960,Coburn,Charles,M,1877,1961,R:crusty benevolence,\Am,,Ww(Hitchcock)
1149,James Coburn,1959-1983,Coburn,James,M,1928,199x,"R:lithe movement, easy grin",\Am,,
1150,Steve Cochran,1945-1965,Cochran,Robert,M,1917,1965,R:good-looking heavy,\Am,,
1151,James Coco,1964-1981,Coco,James,M,1928,1987,R:chubby comic,\Am,,
1152,Ann Codee,1935-1959,Codee,Ann,F,1890,1961,R:middle-aged roles,\Am,,
1153,Lew Cody,1924-1934,Louis,Cote,,1884,1934,R:smartly dressed,\Am,,
1154,George Coe,,,,M,[1],199x,RU:,\Un,,|
1155,Peter Coe,1969-1969,Coe,Peter,M,1929,199x,RU:,\Br,,Also(director)
1156,Tristam Coffin,1941-1956,Coffin,Tristam,M,,199x,RU:,\Am,,
1157,George M. Cohan,1932-1955,Cohan,George M.,M,1878,1942,R:dapper,\Am,,"Mainly(stage, since 1916) Also(dancer-author-composer ) Er(debut 1916)"
1158,Mindy Cohen,,,,F,[1],199x,RU:,\Un,,|
1159,Nicholas Colasanto,,,,M,[1],199x,RU:,\Un,,|
1160,Claudette Colbert,1928-1961,Chauchoin,Lily Claudette,F,1905,1996,R:smart emancipated,\Fr,[4.942],Mt(Norman Foster; Joel Pressman) Aw(AFI#12)
1161,Mabel Colcord,,,,F,[1],199x,RU:,\Un,,|
1162,George Cole,1941-1984,Cole,George,M,1925,199x,R:befuddled innocent,\Br,,
1163,Nat King Cole,1953-1965,Coles,Nathaniel,M,1919,1965,RU:,\Am,,"Also(pianist,singer)"
1164,Rosalie Cole,,,,F,[1],199x,RU:,\Un,,|
1165,Robert Coleby,,,,M,[1],199x,RU:,\Un,,|
1166,Charles Coleman,1885-1951,Coleman,Charles,M,1885,1951,R:perfect portly butler,\Au,,
1167,Dabney Coleman,1966-1983,Coleman,Dabney,M,,199x,R:the heavy,\Am,,
1168,Gary Coleman,1981-1982,Coleman,Gary,M,1968,199x,RU:,\Am,,
1169,Nancy Coleman,1942-1968,Coleman,Nancy,F,1917,199x,R:timid,\Un,[4.266],
1170,David Colin~jr.,,,,M,[1],199x,RU:,\Un,,|
1171,Jean Colin,1930-1954,Colin,Jean,F,1905,199x,R:lead,\Br,,
1172,Bonar Colleano,1945-1958,Sullivan,Bonar,M,1924,1958,R:wise-cracking,\Am,,
1173,Kenneth Colley,,,,M,[1],199x,RU:,\Un,,|
1174,Constance Collier,1916-1950,Hardie,Laura Constance,F,1878,1955,R:excentric lady,\Br,,
1175,Dan Collier,,,,M,[1],199x,RU:,\Un,,|
1176,John Collier,1968-1972,Collier,John,M,1931,199x,R:character,\Br,,
1177,Lois Collier,1938-1958,Jones,Madelyn,F,1919,199x,R:weird woman,\Am,,
1178,Patience Collier,1970-1981,Collier,Patience,F,[1],1987,RU:,\Un,,|
1179,William Collier,1931-1941,Senior,William,M,1866,1944,R:comic,\Am,,
1180,Patricia Collinge,1923-1964,Collinge,Patricia,F,1892,1974,R:old lady,\Ir,[34.287],"Ww(Hitchcock:1923,1964)"
1181,Cora Sue Collins,1933-1938,Collins,Cora Sue,F,1927,199x,R:child star,\Am,,
1182,Eddie Collins,1938-1940,Collins,Eddie,M,1884,1940,R:character,\Am,,
1183,Joan Collins,1952-1982,Collins,Joan,F,1933,199x,R:sultry,\Br,[4.908],
1184,Lewis Collins,1982-1982,Collins,Lewis,M,1946,199x,R:lead,\Br,,
1185,Phil Collins,,,,M,[1],199x,RU:,\Un,,|
1186,Ray Collins,1940-1961,Collins,Ray,M,1890,1965,R:uncles and bosses,\Am,,
1187,Pauline Collins,-1989,Collins,Pauline,F,1940,199x,R:hang loose,\Br,,Lw(tony Rohr) Mt(John Alderton)
1188,Roberta Collins,,,,F,[1],199x,RU:,\Un,,|
1189,Russell Collins,1949-1964,Collins,Russell,M,1897,1965,R:hard guy,\Am,,
1190,June Collyer,1927-1953,Heermance,Dorothy,F,1891,1958,R:light lead,\Am,,
1191,Richard Colman,1919-1957,Colman,Richard,M,1891,1958,R:romantic,\Br,,
1192,Ronald Colman,1919-1957,Colman,Ronald,M,1891,1958,R:gentle manners,\Br,,
1193,Scott Colomby,,,,M,[1],199x,RU:,\Un,,|
1194,Miriam Colon,,,,F,[1],199x,RU:,\Un,,|
1195,Willie Colon,,,,M,[1],199x,RU:,\Un,,|
1196,Jerry Colonna,1938-1958,Colonna,Jerry,M,1903,1986,"R:high-pitched voice, walrus moustache, bulging eyes",\Am,,
1197,Tita Colorado,,,,F,[1],199x,RU:,\Un,,|
1198,Norman Combes,,,,M,[1],199x,RU:,\Un,,|
1199,Frederick Combs,,,,M,[1],199x,RU:,\Un,,|
1200,Anjanette Comer,1965-1977,Comer,Anjanette,F,1942,199x,R:lead,,,|
1201,Dorothy Comingore,1938-1951,Winters,Kay or Linda,F,1913,1971,R:wife,\Am,,
1202,The Commodores,,,,G,[1],199x,RU:,\Un,,|
1203,Betty Compson,1919-1948,Compson,Betty,F,1896,1974,R:lead,\Am,,
1204,Fay Compton,1914-1970,Compton,Fay,F,,199x,RU:,\Br,,Ww(Hitchcock)
1205,Joyce Compton,1926-1951,Hunt,Eleanor,F,1907,199x,R:light second lead,\Am,[4.1083],
1206,Oliver Conant,,,,M,[1],199x,RU:,\Un,,|
1207,Jeff Conaway,1971-1982,Conaway,Jeff,M,1950,199x,R:general purpose,\Am,,
1208,Chester Conklin,1924-1967,Cowles,Jules,M,1888,1971,R:silent slapstick,\Am,,
1209,Jimmy Conlin,1933-1959,Conlin,Jimmy,M,1884,1962,R:bird-like,\Am,,
1210,Didi Conn,,,,F,[1],199x,RU:,\Un,,|
1211,Betty Connell,,,,F,[1],199x,RU:,\Un,,|
1212,Chris Connelly,1972-1974,Connelly,Christopher,M,,199x,R:light lead,\Am,,
1213,Jenifer Connelly,,,,F,[1],199x,RU:,\Un,[4.573],
1214,Neil Connery,1966-1970,Connery,Neil,M,1938,199x,R:lead,\Br,,Si(Sean Connery)
1215,Sean Connery,1957-1999,Connery,Thomas,M,1929,199x,R:virile,\Br; Scots,[4.74],Aw(BFA lifetime) Ww(Hitchcock)
1216,Walter Connolly,1932-1939,Connolly,Walter,M,1887,1940,"R:rasping millionaire, choleric editor",\Am,,
1217,Kenneth Connor,1953-1978,Connolly,Kenneth,M,1918,199x,R:nervous or shy comic,\Br,,Ww(Gerald Thomas)
1218,Chuck Connors,,Connors,Kevin,M,1937,1992,"R:tough guy, thin smile",\Am,,
1219,Michael Connors,1952-1981,Ohanian,Krekor,M,1925,199x,R:action hero,\Am,,
1220,Mike Connors,,1952-1981,Ohanian,Krekor,M,1925,R:\UN,action hero,\Am,Alias(Michael Connors)
1221,Touch Connors,,1952-1981,Ohanian,Krekor,M,1925,R:\UN,action hero,\Am,Alias(Michael Connors)
1222,Robert Conrad,1963-1982,Falk,Conrad Robert,M,1935,199x,R:personable,\Am,,
1223,William Conrad,1946-1982,Conrad,William,M,1920,199x,R:unpleasant villain,\Am,,
1224,Hans Conried,1937-1973,Conried,Hans,M,1917,1982,R:precise diction,\Am,,
1225,Frank Conroy,1930-1959,Conroy,Frank,M,1890,1964,R:domestic tyrant,\Br,,
1226,John Considine,1976-1983,,,M,[1][23],199x,RU:,\Un,,|
1227,Tim Considine,1976,,,M,[1][23],199x,RU:,\Un,,|
1228,Michel Constantin,,,,M,[1],199x,RU:,\Un,,|
1229,Richard Conte,1940-1975,Conte,Richard,M,1914,1975,R:gangster,\Am,,
1230,Mario Conti,,,,M,[1],199x,RU:,\Un,,|
1231,Tom Conti,1974-1997,Conti,Tom,M,1945,199x,R:saturnine,\Br,,
1232,Frank Converse,1967-1978,Converse,Frank,M,1938,199x,R:general purpose,\Am,,
1233,Bert Convy,1972-1981,Convy,Bert,M,1932,1991,"R:ex-baseball player, musician",\Am,,Also(game show host)
1234,Gary Conway,1957-1977,Carmody,Gareth,M,1938,199x,R:light lead,\Am,,
1235,Morgan Conway,1934-1946,Conway,Morgan,M,1903,1981,R:tough-guy,\Am,,Nt(first Dick Tracy)
1236,Tim Conway,1964-1970,Conway,Tim,M,1933,199x,R:Disney films,\Am,,
1237,Carolyn Conwell,,,,F,[1],199x,RU:,\Un,,|
1238,Jackie Coogan,1920-1982,Coogan,Jackie,M,1914,1984,R:child actor,\Am,,
1239,Clyde Cook,1919-1951,Cook,Clyde,M,1891,199x,R:character,\Au,,
1240,Elisha Cook~jr.,1930-1982,Cook,Elisha~Jr.,M,1902,199x,R:neurotic cowards,\Am,,
1241,Fielder Cook,1956-1977,Cook,Fielder,M,1923,199x,RU:,\Am,,Also(d)
1242,Perry Cook,,,,M,[1],199x,RU:,\Un,,|
1243,Peter Cook,1966-1983,Cook,Peter,M,1937,199x,R:cabaret comedian,\Br,,
1244,Ron Cook,1986,Cook,Ron,M,[1],199x,RU:,\Un,,|
1245,Alice Cooper,,,,F,[1],199x,RU:,\Un,,|
1246,Gary Cooper,1925-1961,Cooper,Frank J.,M,1901,1961,"R:honest, playboy",\Am,"[4.362,609]",
1247,Dame Gladys Cooper,1917-1969,Cooper,Dame Gladys,F,1888,1971,"R:distinguished, gracious",\Br,[4.108],
1248,Jackie Cooper,1927-1983,Cooper,Jackie,M,1921,199x,"R:little tough guy, cute",\Am,"[4.406,920]",
1249,Melville Cooper,1931-1958,Cooper,Melville,M,1896,1973,R:comedy character,\Br,,
1250,Miriam Cooper,1911-1923,Cooper,Miriam,F,1900,199x,R:silent screen,\Am,,Mt(Raoul Walsh)
1251,Terrec Cooper,,,,M,[1],199x,RU:,\Un,,|
1252,Robert Coote,1931-1973,Coote,Robert,M,1909,1982,R:character,\Br,,
1253,Francis Ford Coppola,1963-1983,Coppola,Francis,M,1939,199x,RU:,\Am,,"Nt(nude movies) Also(W,D) Ch(Carmine~Coppola)"
1254,Sofia Coppola,1990,Coppola,Sofia,F,,199x,RU:,\Am,,Ch(Francis Ford Coppola)
1255,Gretchen Corbett,1970-1980,Corbett,Gretchen,F,1947,199x,R:character,\Am,,
1256,Harry H. Corbett,1957-1972,Corbett,Harry,M,1925,1982,"R:tough guy, maniac",\Br,,
1257,Barry Corbin,,,,M,[1],199x,RU:,\Un,,|
1258,Ellen Corby,1946-1981,Hansen,Ellen,F,1913,1999,"R:nosy neighbor, prim spinster",\Am,,"Nt(grandmother `Waltons', TV)"
1259,Kevin Corcoran,1955-1965,Corcoran,Kevin,M,1949,199x,R:child actor,\Am,,
1260,Alex Cord,1965-1977,Viespi,Alexander,M,1931,199x,R:lead,\It-Am,,
1261,Lola Cordova,1990,Cordova,Lola,F,,199x,RU:,\Sp,,Pa(Almodovar)
1262,Raymond Cordy,1931-1955,Cordiaux,R,M,1898,1956,R:comedy,\Fr,,
1263,Irwin Corey,,,,M,[1],199x,RU:,\Un,,|
1264,Jeff Corey,1941-1979,Corey,Jeff,M,1914,199x,"R:gamer, ganster, junkie, wino, convict, convict, cop",\Am,,
1265,Wendell Corey,1947-1968,Corey,Wendell,M,1914,1968,R:solid dependable,\Am,,
1266,Roger Corman,,Corman,Roger,M,1926,199x,RU:,\Un,,"Also(D,P)"
1267,Judy Cornwell,,,,F,[1],199x,RU:,\Un,,|
1268,Adrienne Corri,1951-1974,Riccobonii,Adrienne,F,1930,199x,R:tempestuous,\Br,,
1269,Douglas `Wrong Way' Corrigan,1939-1939,Corrigan,Douglas,M,1907,199x,RU:,\Am,,Nt(self as aviator)
1270,Lloyd Corrigan,1925-1962,Corrigan,Lloyd,M,1900,1969,"R:chubby, jovial",\Am,[4.926],
1271,Salvatore Corsitto,,,,M,[1],199x,RU:,\Un,,|
1272,Bud Cort,1970-1983,Cort,Bud,M,1950,199x,R:demented youth,\Am,,
1273,Valentina Cortesa,1948-1980,Cortesa,Valentina,F,1924,199x,R:lead,\It,,
1274,Joseph Cortese,,,,M,[1],199x,RU:,\Un,,|
1275,Ricardo Cortez,1923-1958,Cortez,Ricardo,M,1899,1977,R:Latin lover,\Am,,
1276,Nicholas Cortland,,,,M,[1],199x,RU:,\Un,,|
1277,Henry Cory,,,,M,[1],199x,RU:,\Un,,|
1278,Wendell Cory,,,,M,[1],199x,RU:,\Un,,|
1279,Cybil Cosack,,,,F,[1],199x,RU:,\Un,,|
1280,Ernest Cosart,,,,M,[1],199x,RU:,\Un,,|
1281,Bill Cosby,1971-1990,Cosby,Bill,M,1938,199x,"R:funny, but wise",\Am,,
1282,Howard Cosell,1956,Howard,Cosell,M,1919,199x,R:gravel-voiced commentator,\Am,,
1283,Rich Cosentino,,,,M,[1],199x,RU:,\Un,,|
1284,James Cossins,1968-1971,Cossins,James,M,1933,199x,R:character,\Br,,
1285,Caroline `Tula' Cossey,1981-1990,Cossey,,"M,F",1955,199x,R:sexy,\Am,,Nt(transsexual)
1286,Desiree Costeau,1974,,Desir\'ee,F,[1],199x,R:porn star,,,
1287,Dolores Costello,1923-1943,Costello,Dolores,F,1905,1979,R:silent screen heroine,,,Mt(John Barrymore)
1288,Helene Costello,1925-1928,Costello,Helene,F,1904,1957,R:silent screen lead,\Am,,
1289,Lou Costello,1959-1959,Costello,Lou,M,1906,1959,R:zany comedian,\Am,,Ww(Bud Abbott) St(Universal)
1290,Kevin Costner,1989-1990,Costner,Kevin,M,1955,199x,RU:,\Un,,|
1291,Joseph Cotten,1941-1982,Cotten,Joseph,M,1905,1994,R:quiet lead,\Am,"[4.942,1139]",Ph(tall) Ww(Hitchcock)
