,movie,actor,type,role
958,T:Ariel,Matti Pellonpaa,\Und,RU:
959,T:The Match Factory Girl,Kati Outinen,\Und,"R:rejected ""Iris"""
960,T:The Match Factory Girl,Elina Salo,\Und,"R:one night lover, poisoned"
961,T:The Match Factory Girl,Esko Nikkari,\Und,R:abusive father
962,T:The Match Factory Girl,Vesa Vierikko,\Und,R:abusive mother
963,T:La Vie de Boh\`eme,Andre Wilms,\Und,"R:unrecognized author, resourceful ""Marcel"""
964,T:La Vie de Boh\`eme,"Matti Pellon\""a\""A",\Und,"R:Albanian painter ""Rodolfo"""
965,T:La Vie de Boh\`eme,"Kari V\""a\""ana\""anen",\Und,"R:composer ""Schaunard"""
966,T:La Vie de Boh\`eme,s a,\Und,R:beautiful waif
967,T:La Vie de Boh\`eme,Christine Murillo,\Und,"R:Marcel's girlfriend ""Musette"""
968,T:La Vie de Boh\`eme,Evelyne Didi,\Und,"R:rodolfo's girlfriend ""Mimi"""
969,T:La Vie de Boh\`eme,Laike,\Aml,"R:dog ""Baudelaire"""
970,"T:Madonna, Truth or Dare",Madonna,\Und,R:singer
971,"T:Madonna, Truth or Dare",Sandra Bernhard,\Sdk,R:pal
972,"T:Madonna, Truth or Dare",Kevin Costner,\Und,R:friend
973,"T:Madonna, Truth or Dare",Warren Beatty,\Und,R:lover
974,T:With Honors,Joe Pesci,\Und,R:feisty homeless man
975,T:With Honors,Brendan Fraser,\Und,"R:Harvard senior, becomes father figure, thwarted in degree"
976,T:With Honors,Moira Kelly,\Und,R:roommate
977,T:With Honors,Patrick Dempsey,\Und,R:roommate
978,T:With Honors,Josh Hamilton,\Und,R:roommate
979,T:With Honors,Gore Vidal,\Und,R:blowhard professor
980,T:Coming Home,Crahan Denton,\Und,"R:ex-con, loses money"
981,T:Coming Home,Jeanette Nolan,\Und,R:wife
982,T:Coming Home,Susan Silo,\Und,"R:daughter, fleeced father"
983,T:Captive Audience,James Mason,\Und,R:mystery novelist
984,T:Captive Audience,Angie Dickinson,\Und,R:old flame
985,T:Captive Audience,Ed Nelson,\Und,R:writer
986,T:The 31st of February,David Wayne,\Und,"R:mild-mannered executive, driven insane"
987,T:The 31st of February,William Conrad,\Und,R:aggressive detective
988,T:A Tangled Web,Zohra Lampert,\Und,R:possessed by thief
989,T:A Tangled Web,Robert Redford,\Und,R:thief
990,T:A Tangled Web,Barry Morse,\Und,"R:boyfriend, plots"
991,T:The Cadaver,Michael Parks,\Und,R:medical student
992,T:The Cadaver,Joby Baker,\Und,"R:joking roommate, killed"
993,T:How to get Rid of Your Wife,Bob Newhart,\Und,R:henpecked
994,T:How to get Rid of Your Wife,Jane Withers,\Und,"R:nag, scared"
995,T:Beyond the Sea of Death,Diana Hyland,\Und,R:socialite
996,T:Beyond the Sea of Death,Jeremy Slate,\Und,"R:young engineer, corresponds"
997,T:Beyond the Sea of Death,Mildred Dunnock,\Und,"R:realistic surrogate mother, killed"
998,T:Beyond the Sea of Death,Abraham Sofaer,\Und,R:scheming mystic
999,T:Night Caller,Felicia Farr,\Vil,R:shapely tease
1000,T:Night Caller,Bruce Dern,\Inn \Vic,"R:accused of peeping, killed"
1001,T:Night Caller,David White,\Sdk,R:husband
1002,T:Ten Minutes From Now,Donnelly Rhodes,\Und,R:suspect artist
1003,T:Ten Minutes From Now,s a,\Und,"R:accomplice, robs museum"
1004,T:Isabel,Bsarbara Barrie,\Und,"R:assaulted spinster, marries"
1005,T:Isabel,Bradford Dillman,\Und,"R:suspect, falsely convicted, plots revenge"
1006,T:Isabel,Dabney Coleman,\Und,R:police sergeant
1007,T:Where the Woodbine Twineth,Margaret Leighton,\Und,"R:spinster, goes mad"
1008,T:Where the Woodbine Twineth,s a,\Und,"R:nice, gets voodoo doll"
1009,T:Where the Woodbine Twineth,Carl Benton Reid,\Und,"R:grandfather, captain"
1010,T:Completely Foolproof,J.D. Cannon,\Und,R:dishonest developer
1011,T:Completely Foolproof,Patricia Barry,\Und,"R:wife, wants divorce"
1012,T:Completely Foolproof,Geoffrey Horen,\Und,"R:wife's lover, in debt"
1013,T:The Most Beautiful,Yoko Yaguchi,\Und,RU:
1014,T:Drunken Angel,Toshiro Mifune,\Und,RU:
1015,T:Drunken Angel,Takashi Shimura,\Und,RU:
1016,T:Stray Dog,Ko Kimura,\Und,"R:thief, cop's nemesis"
1017,T:Rashomon,Toshiro Mifune,\Vil,"R:vicious bandit, rapes, murders"
1018,T:Rashomon,Kyo Machiko,\Vic,"R:victim, raped"
1019,T:Rashomon,Masayuki Mori,\Vic,"R:victim, murdered"
1020,T:Rashomon,Takashi Shimura,\Und,R:eyewitness
1021,T:Ugetsu,Kenji Mizoguchi,\Und,RU:
1022,T:Ugetsu,Kinuyo Tanaka,\Und,RU:
1023,T:Ugetsu,Machiko Kyo,\Und,RU:
1024,T:Shichinin no Samurai,Toshiro Mifune,\Und,R:warrior
1025,T:Shichinin no Samurai,Takashi Shimura,\Und,RU:
1026,T:Shichinin no Samurai,Kuninori Kodo,\Und,RU:
1027,T:Shichinin no Samurai,Daisuke Kato,\Und,RU:
1028,T:Shichinin no Samurai,Minoru Chaiki,\Und,RU:
1029,T:Record of a Living Being,Takashi Shimura,\Und,"R:ordinary businessman, dying"
1030,T:Yojimbo,Toshiro Mifune,\Und,R:unemployed samurai
1031,T:Sanjuro,Toshiro Mifune,\Und,R:samurai
1032,T:High and Low,Toshiro Mifune,\Und,"R:executive, threatened by kidnapping"
1033,T:High and Low,Tasuya Nkadai,\Und,R:police inspector
1034,T:High and Low,s a,\Und,R:kidnapper
1035,T:High and Low,s a,\Und,"R:chauffeur's son, kidnapped by mistake"
1036,T:Derzu Uzala,s a,\Und,R:explorer
1037,T:Derzu Uzala,s a,\Und,R:guide
1038,T:Kagemusha,Tatsya Nakadai,\Und,R:warlord
1039,T:Kagemusha,Tatsya Nakadai,\Und,"R:thieving peasant, warlord's double"
1040,T:Ran,Mieko Harada,\Und,"R:vengeful demon ""Lady Kaede"""
1041,T:Ran,Tatsuya Nakadai,\Und,R:warlord head of clan
1042,T:Ran,Peter,\Und,R:fool transvestite
1043,T:Ran,Hisahi Ikawa,\Und,R:defies demon
1044,T:Ran,Satoshi Terao,\Und,"RS:blind ""Tsurumaru"""
1045,T:Ran,Jinpachi Nezu,\Und,RU:
1046,T:Ran,Daisuke Ryu,\Und,RU:
1047,T:Akira Kurosawa Dreams,Akira Terao,\Und,R:dreamer
1048,T:Akira Kurosawa Dreams,Mieko Harada,\Und,R:dream fairy
1049,T:Akira Kurosawa Dreams,Martin Scorsese,\Und,"R:painter ""vanGogh"""
1050,T:Akira Kurosawa Dreams,Chishu Ryu,\Und,R:very old man
1051,T:Rhapsody in August,Richard Gere,\Und,R:cousin from Hawaii
1052,T:Rhapsody in August,Sachiko Murase,\Und,R:grandmother
1053,T:Madadayo,s a,\Und,"R:elderly teacher, supported by students"
1054,T:Sue,Anna Thomson,\Und,"R:homeless, unemployed young woman ""Sue"""
1055,T:Runaway Train,Jon Voight,\Und,"R:distrusted convict, escapee"
1056,T:Runaway Train,Eric Roberts,\Und,"R:trustee convict, escapee"
1057,T:Runaway Train,Rebecca deMornay,\Und,R:terrified train crew
1058,T:Runaway Train,Kyle T. Heffner,\Und,R:warden
1059,T:Runaway Train,John P. Ryan,\Und,RZ:old train dispatcher
1060,T:Runaway Train,Kenneth McMillan,\Und,"RZ:yound, hi-tech dispatcher"
1061,T:Tango and Cash,Sylvester Stallone,\Und,R:cop
1062,T:Tango and Cash,Kurt Russell,\Und,R:cop
1063,T:Tango and Cash,Teri Hatcher,\Und,RU:
1064,T:The Inner Circle,Tom Hulce,\Und,R:Stalin's projectionist
1065,T:The Inner Circle,Bob Hoskins,\Und,"R:security chief ""Beria"""
1066,T:The Inner Circle,Lolita Davidoitch,\Und,R:wife
1067,T:The Inner Circle,s a,\Und,"R:dictator ""Stalin"""
1068,T:The Inner Circle,s a,\Und,"RN:""Trotsky"""
1069,T:The Inner Circle,s a,\Und,"R:composer ""Shostakovich"""
1070,T:The Slingshot,Jesper Sal\'en,\Und,"R:kid, makes slingsots from metal and condoms, inventor ""Roland Sch\""utt"""
1071,T:The Slingshot,Basia Frydman,\Und,R:Russian-Jewish mother
1072,T:The Slingshot,Stellan Skarsgard,\Und,R:socialist father
1073,T:The Slingshot,Niklas Odlund,\Und,"R:brother, wnats to box"
1074,TZ:Terror in the Aisles,Donald Pleasance,\Und,RU:
1075,TZ:Terror in the Aisles,Nancy Allen,\Und,RU:
1076,T:Mayerling,Charles Boyer,\Und,R:archduke
1077,T:Mayerling,Danielle Darrieux,\Und,R:innocent girl
1078,T:Tovarich,Claudette Colbert,\Und,"R:refugee, becomes servant"
1079,T:Tovarich,Charles Boyer,\Und,"R:refugee, becomes servant"
1080,T:Tovarich,Basil Rathbone,\Und,RU:
1081,T:Tovarich,Anita Louise,\Und,RU:
1082,T:Tovarich,Melville Cooper,\Und,RU:
1083,T:Tovarich,Isabel Jeans,\Und,RU:
1084,T:Tovarich,Maurice Murphy,\Und,RU:
1085,T:The Amazing Dr.Clitterhouse,Edward G. Robinson,\Und,"R:doctor, studies criminality, gets involved ""Clitterhouse"""
1086,T:The Amazing Dr.Clitterhouse,Claire Tevor,\Und,"R:fence, falls for Clitterhouse ""Joe"""
1087,T:The Amazing Dr.Clitterhouse,Himphey Bogart,\Und,"R:tough thief, resents Clitterhouse, poisoned ""Rocks"""
1088,T:The Amazing Dr.Clitterhouse,Allen Jenkins,\Und,"R:crook ""Okay"""
1089,T:The Amazing Dr.Clitterhouse,Donald Crisp,\Und,RU:
1090,T:The Amazing Dr.Clitterhouse,Gale Page,\Und,R:faithful nurse
1091,T:The Amazing Dr.Clitterhouse,Henry ONeill,\Und,RZ:inspector
1092,T:The Amazing Dr.Clitterhouse,John Litel,\Und,RU:
1093,T:All This and Heaven Too,Charles Boyer,\Und,R:nobleman
1094,T:All This and Heaven Too,Bette Davis,\Lov,R:governess
1095,T:All This and Heaven Too,Barbara ONeil,\Und,"R:wife, murdered"
1096,T:All This and Heaven Too,Virginia Weidler,\Und,RU:
1097,T:All This and Heaven Too,Jeffrey Linn,\Und,RU:
1098,T:All This and Heaven Too,Helen Westley,\Und,RU:
1099,T:All This and Heaven Too,Henry Daniell,\Und,RU:
1100,T:All This and Heaven Too,Harry Davenport,\Und,RU:
1101,T:All This and Heaven Too,Walter Hampden,\Und,RU:
1102,T:All This and Heaven Too,George Coulouris,\Und,RU:
1103,T:All This and Heaven Too,Janet Beecher,\Und,RU:
1104,T:All This and Heaven Too,Montagu Love,\Und,RU:
1105,T:Castle on the Hudson,John Garfield,\Und,R:hardened criminal
1106,T:Castle on the Hudson,Pat OBrien,\Und,RU:
1107,T:Castle on the Hudson,Ann Sheridan,\Und,RU:
1108,T:Castle on the Hudson,Burgess Meredith,\Und,RU:
1109,T:Castle on the Hudson,Jerome Cowan,\Und,RU:
1110,T:Castle on the Hudson,Henry ONeill,\Und,RU:
1111,T:Castle on the Hudson,Guinn Williams,\Und,RU:
1112,T:Castle on the Hudson,John Litel,\Und,RU:
1113,T:Confessions of a Nazi Spy,Edward G. Robinson,\Und,RU:
1114,T:Confessions of a Nazi Spy,Paul Lukas,\Und,R:spy
1115,T:Confessions of a Nazi Spy,George Sanders,\Und,RU:
1116,T:Confessions of a Nazi Spy,James Stephenson,\Und,RU:
1117,T:Confessions of a Nazi Spy,Sig Rumann,\Und,RU:
1118,T:City for Conquest,Jimmy Cagney,\Und,R:blinded boxer
1119,T:City for Conquest,Ann Sheridan,\Und,RU:
1120,T:City for Conquest,Frank Craven,\Und,RU:
1121,T:City for Conquest,Donald Crisp,\Und,RU:
1122,T:City for Conquest,Arthur Kennedy,\Und,RU:
1123,T:City for Conquest,Frank McHugh,\Und,RU:
1124,T:City for Conquest,George Tobias,\Und,RU:
1125,T:City for Conquest,Anthony Quinn,\Und,RU:
1126,T:The Long Night,Henry Fonda,\Vil,R:decent man becomes murderer
1127,T:Sorry Wrong Number,Barbara Stanwyk,\Und,R:bedridden
1128,T:Sorry Wrong Number,Burt Lancaster,\Und,RU:
1129,T:Sorry Wrong Number,Ann Richards,\Und,RU:
1130,T:Sorry Wrong Number,Wendell Cory,\Und,RU:
1131,T:Sorry Wrong Number,Ed Begley,\Und,RU:
1132,T:Sorry Wrong Number,Harold Vermilya,\Und,RU:
1133,T:Sorry Wrong Number,Leif Erickson,\Und,RU:
1134,T:Sorry Wrong Number,William Conrad,\Und,RU:
1135,T:The Snake Pit,Olivia deHavilland,\Und,R:patient
1136,T:The Snake Pit,Leo Glenn,\Und,RU:
1137,T:The Snake Pit,Mark stevens,\Und,RU:
1138,T:The Snake Pit,Celeste Holm,\Und,RU:
1139,T:The Snake Pit,Glenn Langan,\Und,RU:
1140,T:The Snake Pit,Leif Erickson,\Und,RU:
1141,T:The Snake Pit,Beulah Bondi,\Und,RU:
1142,T:The Snake Pit,Lee Patrick,\Und,RU:
1143,T:The Snake Pit,Natalie Schafer,\Und,RU:
1144,T:Anastasia,Ingrid Bergman,\Und,"R:fake successor to the Russian throne ""Anastasia"""
1145,T:Anastasia,Yul Brynner,\Und,R:scheming White Russian exile
1146,T:Anastasia,Helen Hayes,\Und,RU:
1147,T:Anastasia,Martita Hunt,\Und,RU:
1148,T:Anastasia,Akim Tamiroff,\Und,RU:
1149,T:Anastasia,Felix Aylmer,\Und,RU:
1150,T:Anastasia,Ivan Desny,\Und,RU:
1151,T:Anastasia,Natalie Schafer,\Und,RU:
1152,T:The Journey,Yul Brynner,\Und,RU:
1153,T:The Journey,Deborah Kerr,\Und,RU:
1154,T:The Journey,Jason Robards~jr.,\Und,RU:
1155,T:The Journey,Anouk Aim\'ee,\Und,RU:
1156,T:The Journey,Robert Morley,\Und,RU:
1157,T:The Journey,E.G. Marshall,\Und,RU:
1158,T:The Journey,s a,\Und,RU:
1159,T:The Journey,s a,\Und,RU:
1160,T:Dracula vs. Frankenstein,J.Carrol Naish,\Und,"R:old ""Dr.Frankenstein"""
1161,T:Dracula vs. Frankenstein,Lon Chaney~jr.,\Und,"R:imbecile, decapitates virgins"
1162,T:Dracula vs. Frankenstein,Zandor Vorkov,\Und,"R:vampire ""Dracula"""
1163,T:Dracula vs. Frankenstein,Regina Carrol,\Und,"R:sings, addict, bitten"
1164,T:Dracula vs. Frankenstein,Angelo Rossito,\Und,"R:dwarf, aide"
1165,T:Dracula vs. Frankenstein,Regina Carrol,\Und,"R:sings, addict, bitten"
1166,T:Dracula vs. Frankenstein,John Bloom,\Und,R:monster
1167,T:Dracula vs. Frankenstein,Forrest J. Ackerman,\Und,R:killed
1168,T:Dracula vs. Frankenstein,Anthony Eisley,\Und,RU:
1169,T:Dracula vs. Frankenstein,Russ Tamblyn,\Und,R:biker
1170,T:Dracula vs. Frankenstein,Jim Davis,\Und,RU:
1171,TZ:Jessi's Girls,Sondra Currie,\Und,RU:
1172,TZ:Jessi's Girls,Regina Carrol,\Und,RU:
1173,TZ:Jessi's Girls,Jennifer Bishop,\Und,RU:
1174,TZ:Jessi's Girls,Geoffrey Land,\Und,RU:
1175,TZ:Jessi's Girls,Ben Frank,\Und,RU:
1176,T:Dracula's Dog,s a,\Ani,"R:vampire dog ""Zoltan"""
1177,T:Dracula's Dog,Reggie Nalder,\Und,R:revived vampire
1178,T:Dracula's Dog,Michael Pataki,\Und,R:American vampire
1179,T:Dracula's Dog,Jose Ferrer,\Und,R:savior
1180,T:S\'erie Noir,Patrick Dewaere,\Und,"R:traveling salesman, jailed"
1181,T:S\'erie Noir,s a,\Und,"R:young woman, helps"
1182,T:S\'erie Noir,s a,\Und,"R:woman's aunt, to be robbed"
1183,T:Tous Les Matins Du Monde,Gerard Depardieu,\Und,"R:celebrated court musician ""Marin Marais"""
1184,T:Tous Les Matins Du Monde,Anne Brochet,\Und,"RZ:former love, teacher's daughter ""Madeleine"""
1185,T:Tous Les Matins Du Monde,JeanPiere Marielle,\Und,"R:brilliant teacher ""M. deSainteColombe"""
1186,T:Tous Les Matins Du Monde,Caroline Sihol,\Und,"RZ:older sister, later ""Madelaine"""
1187,T:Tous Les Matins Du Monde,Carole Richert,\Und,"R:daughter ""Toinette"""
1188,T:Tous Les Matins Du Monde,Guillaume Depardieau,\Und,"R:young musician ""Marin Marais"""
1189,T:Catherine,Catherine Hessling,\Und,RU:
1190,T:The Moon and Sixpence,George Sanders,\Und,"R:stockbroker, leaves family to paint"
1191,T:The Moon and Sixpence,Herbert Marshall,\Und,"R:author ""Somerset Maugham"""
1192,T:The Moon and Sixpence,Steve Geray,\Und,RU:
1193,T:The Moon and Sixpence,Doris Dudley,\Und,RU:
1194,T:The Moon and Sixpence,Elena Verdugo,\Und,R:native girl
1195,T:The Moon and Sixpence,Florence Bates,\Und,RU:
1196,T:The Moon and Sixpence,Heather Thatcher,\Und,RU:
1197,T:The Moon and Sixpence,Eric Blore,\Und,RU:
1198,T:The Moon and Sixpence,Albert Basserman,\Und,RU:
1199,T:The Picture of Dorian Gray,George Sanders,\Und,"R:decadent lord, wants to stay young ""Henry Wooton"""
1200,T:The Picture of Dorian Gray,Angela Lansbury,\Und,R:gullible victim
1201,T:The Picture of Dorian Gray,Donna Reed,\Und,RU:
1202,T:The Picture of Dorian Gray,Lowell Gilmore,\Und,RU:
1203,T:The Picture of Dorian Gray,Peter Lawford,\Und,RU:
1204,T:Pandora and the Flying Dutchman,James Mason,\Und,R:ghost of sea captain
1205,T:Pandora and the Flying Dutchman,Ava Gardner,\Und,"R:American playgirl, loves captain, suicide"
1206,T:Pandora and the Flying Dutchman,Harold Warrender,\Und,RU:
1207,T:Pandora and the Flying Dutchman,Nigel Patrick,\Und,RU:
1208,T:Pandora and the Flying Dutchman,Sheila Sim,\Und,RU:
1209,T:Pandora and the Flying Dutchman,Mario Cabre,\Und,RU:
1210,T:Pandora and the Flying Dutchman,John Laurie,\Und,RU:
1211,TZ:Pandora and the Flying Dutchman,Pamela Kellino,\Und,RU:
1212,T:Pandora and the Flying Dutchman,Marius Goring,\Und,RU:
1213,T:Saadia,Cornel Wilde,\Und,RU:
1214,T:Saadia,Mel Ferrer,\Und,RU:
1215,T:Saadia,Rita Gam,\Und,RU:
1216,T:Saadia,Michel Simon,\Und,RU:
1217,T:Saadia,Wanda Rotha,\Und,RU:
1218,T:Saadia,Cyril Cusack,\Und,RU:
1219,T:Saadia,Marcel Poncin,\Und,RU:
1220,T:Saadia,Peter Bull,\Und,RU:
1221,T:Dracula A.D. 1972,Peter Cushing,\Her,"R:traveller ""VanHelsing"""
1222,T:Dracula A.D. 1972,Peter Cushing,\Her,R:descendant of VanHelsing
1223,T:Dracula A.D. 1972,Christopher Lee,\Vil,"R:count, returns ""Dracula"""
1224,T:Dracula A.D. 1972,Christopher Neame,\Und,R:vampire
1225,T:Dracula A.D. 1972,Caroline Munro,\Vic,R:victim
1226,T:Dracula A.D. 1972,Stephanie Beecham,\Vic,R:victim
1227,TZ:Little Miss Marker,Shirley Temple,"\Inn,\Sav","R:waif, pawned"
1228,TZ:Little Miss Marker,Adolphe Menjou,\Und,R:gambler
1229,TZ:Little Miss Marker,Dorothy Dell,\Und,RU:
1230,TZ:Little Miss Marker,Charles Bickford,\Und,RU:
1231,TZ:Little Miss Marker,Lynne Overman,\Und,RU:
1232,TZ:Little Miss Marker,Frank mcGlynn~sr,\Und,RU:
1233,TZ:Little Miss Marker,Willie Best,\Und,RU:
1234,T:The Doctor Takes a Wife,Loretta Young,\Und,R:socialite
1235,T:The Doctor Takes a Wife,Ray Milland,\Sci,R:doctor
1236,T:The Doctor Takes a Wife,Edmund Gwenn,\Und,RU:
1237,T:The Doctor Takes a Wife,Reginald Gardiner,\Und,RU:
1238,T:The Doctor Takes a Wife,Charles Halton,\Und,RU:
1239,T:Here Comes Mr.~Jordan,Robert Montgomery,\Und,"R:genial boxer, dies"
1240,T:Here Comes Mr.~Jordan,Edward Everett Horton,\Und,R:fussy angel
1241,T:Here Comes Mr.~Jordan,Evelyn Keyes,\Und,RU:
1242,T:Here Comes Mr.~Jordan,Claude Rains,\Und,"R:hellish executive, pilot"
1243,T:Here Comes Mr.~Jordan,James Gleason,\Und,R:manager
1244,T:Here Comes Mr.~Jordan,Rita Johnson,\Und,RU:
1245,T:Here Comes Mr.~Jordan,John Emery,\Und,RU:
1246,T:Here Comes Mr.~Jordan,Donald mcBride,\Und,RU:
1247,T:Here Comes Mr.~Jordan,Halliwell Hobbes,\Und,RU:
1248,T:Here Comes Mr.~Jordan,Benny Rubin,\Und,RU:
1249,T:Once Upon A Time,Cary Grant,\Und,R:producer
1250,T:Once Upon A Time,Janet Blair,\Und,R:boy with dancing caterpillar
1251,T:Once Upon A Time,James Gleason,\Und,RU:
1252,T:Once Upon A Time,Ted Donaldson,\Und,RU:
1253,T:Once Upon A Time,William Demarest,\Und,RU:
1254,T:Once Upon A Time,Howard Freeman,\Und,RU:
1255,T:Once Upon A Time,Art Baker,\Und,RU:
1256,T:Once Upon A Time,John Abbott,\Und,RU:
1257,T:Let's Do It Again,Jane Wyman,\Und,R:divorcing
1258,T:Let's Do It Again,Ray Milland,\Und,R:divorcing
1259,T:Let's Do It Again,Aldo Ray,\Und,RU:
1260,TZ:Where the Buffalo Roam,Bill Murray,\Und,R:mad attorney
1261,TZ:Where the Buffalo Roam,Peter Boyle,\Und,R:excentric journalist
1262,TZ:Where the Buffalo Roam,Bruno Kirby,\Und,RU:
1263,TZ:Where the Buffalo Roam,Rene Auberjonois,\Und,RU:
1264,T:Where the Buffalo Roam,R.G. Armstrong,\Und,RU:
1265,TZ:The Wild Life,Christopher Penn,\Und,RU:
1266,T:The Wild Life,Eric Stoltz,\Und,RU:
1267,T:The Wild Life,Ilan MitchellSmith,\Und,RU:
1268,T:The Wild Life,Jenny Wright,\Und,RU:
1269,T:To Be or Not To Be,Anne Bancroft,\Und,R:polish actress
1270,T:To Be or Not To Be,Mel Brooks,\Und,R:polish actor
1271,T:To Be or Not To Be,Tim Matheson,\Und,"R:pilot, luitenant"
1272,T:To Be or Not To Be,Christopher Lloyd,\Und,RU:
1273,T:To Be or Not To Be,Jose Ferrer,\Und,R:Polish actor
1274,T:To Be or Not To Be,Jack Riley,\Und,R:Polish actor
1275,T:To Be or Not To Be,Charles Durning,\Und,R:Gestapo officer
1276,T:To Be or Not To Be,James Haake,\Und,"R:fey ""Shylock"""
1277,T:To Be or Not To Be,Roy Goldman,\Und,"RN:""Hitler"""
1278,T:Le ballon rouge,Pascal Lamorisse,\Und,R:boy
1279,T:The Photographer and the Undertaker,Jack Cassidy,\Und,"R:photographer, hitman, pretends death by fire"
1280,T:The Photographer and the Undertaker,Harry Townes,\Und,"R:undertaker, hitman"
1281,T:The Photographer and the Undertaker,Jocelyn Lane,\Und,"R:beauty, daughter of undertaker"
1282,T:The Eyes of Youth,Clara Kimball Young,\Und,"R:must choose among love, security,career"
1283,T:The Eyes of Youth,Gareth Hughes,\Und,RZ:lover
1284,T:The Eyes of Youth,Pauline Starke,\Und,RU:
1285,T:The Eyes of Youth,Sam Sothern,\Und,RZ:banker
1286,T:The Eyes of Youth,Milton Sills,\Und,RU:
1287,T:The Eyes of Youth,Rudolfo Valentino,\Und,RU:
1288,T:Blind Man's Bluff,Basil Sidney,\Und,"R:jealous doctor, cured of blindness"
1289,T:Blind Man's Bluff,James Mason,\Und,RU:
1290,T:Blind Man's Bluff,Enid StampTaylor,\Sus,R:wife
1291,T:Blind Man's Bluff,Barbara Greene,\Und,RU:
1292,T:Saint Louis Blues,Nat King Cole,\Und,"R:jazz singer, pianist ""W.C. Handy"""
1293,T:Saint Louis Blues,Eartha Kitt,\Und,"R:bar singer ""Gogo Germaine"""
1294,T:Saint Louis Blues,Pearl Bailey,\Und,R:singer
1295,T:Saint Louis Blues,Cab Calloway,\Und,R:musician
1296,T:Saint Louis Blues,Ella Fitzgerald,\Und,"R:musician, aunt ""Helen"""
1297,T:Saint Louis Blues,Ruby Dee,\Und,R:musician
1298,T:Saint Louis Blues,Mahalia Jackson,\Und,R:musician
1299,T:Saint Louis Blues,s a,\Und,"R:girlfriend ""Elisabeth"""
1300,T:Saint Louis Blues,Juana Hernadez,\Und,RU:
1301,T:Saint Louis Blues,s a,\Und,"R:father, rigid preacher)"
1302,TZ:Android,Klaus Kinski,\Und,RU:
1303,TZ:Android,Don Opper,\Und,RU:
1304,TZ:Android,Brie Howard,\Und,RU:
1305,T:Dual Alibi,Herbert Lom,\Und,R:trapeze artist
1306,T:Dual Alibi,Phyllis Dixey,\Lov,RU:
1307,T:Dual Alibi,Ronald Frankau,\Und,RU:
1308,T:Dual Alibi,Terence deMarmey,\Und,RU:
1309,T:Dual Alibi,Abraham safaer,\Und,RU:
1310,T:Vice Squad,Edward G. Robinson,\Und,R:police captain
1311,T:Vice Squad,Paulette Goddard,\Und,RU:
1312,T:Vice Squad,K.T. Stevens,\Und,RU:
1313,T:Vice Squad,Porter Hall,\Und,RU:
1314,T:Vice Squad,Adam Williams,\Und,RU:
1315,T:Vice Squad,Edward Binns,\Und,RU:
1316,T:Vice Squad,Lee VanCleef,\Und,RU:
1317,T:Decoy,Robert Horton,\Und,"R:pianist, set up"
1318,T:Decoy,Cara Williams,\Und,"R:singer, loved"
1319,T:Decoy,Arnold Laven,\Und,"RZ:husband, impresario, accused of brutality, shot"
1320,T:Decoy,Jack Mullaney,\Und,"RS:police detective, trusts pianist ""Ritchie"""
1321,T:Decoy,Phillip Coolidge,\Und,"R:singer's new love, murderer ""Ritchie"""
1322,T:Decoy,s a,\Und,"R:japanese dancer, possible witness ""Mrs.Sajikawa"""
1323,T:Decoy,s a,\Und,"R:disc jockey, possible witness"
1324,T:The Return of Verge Likens,Peter Fonda,\Und,"R:wronged father, becomes barber"
1325,T:The Return of Verge Likens,Robert Emhardt,\Und,"R:crooked politician, dies of fear"
1326,T:The House of Rothschild,George Arliss,\Und,R:banker
1327,T:The House of Rothschild,Loretta Young,\Und,RU:
1328,T:The House of Rothschild,Boris Karloff,\Und,RU:
1329,T:The House of Rothschild,Robert Young,\Und,RU:
1330,T:The House of Rothschild,C.Aubrey Smith,\Und,RU:
1331,T:The House of Rothschild,Arthur Byron,\Und,RU:
1332,T:The House of Rothschild,Helen Westley,\Und,RU:
1333,T:The House of Rothschild,Refinald Owen,\Und,RU:
1334,T:The House of Rothschild,Florence Arliss,\Und,RU:
1335,T:The House of Rothschild,Alan Mowbray,\Und,RU:
1336,T:The House of Rothschild,Holmes Hernert,\Und,RU:
1337,T:The Adventures of Sherlock Holmes,Basil Rathbone,\Agn,"R:detective ""Holmes"""
1338,T:The Adventures of Sherlock Holmes,Nigel Bruce,\Sdk,R:Dr.~Watson
1339,T:The Adventures of Sherlock Holmes,George Zucco,\Und,"R:professor, thief ""Moriarty"""
1340,T:The Adventures of Sherlock Holmes,Ida Lupino,\Und,"R:helps with sketch ""Ann Brandon"""
1341,T:The Adventures of Sherlock Holmes,Alan Marshall,\Und,"RN:""Jerrold Hunter"""
1342,T:The Adventures of Sherlock Holmes,Terry Kilburn,\Und,R:Billy
1343,T:The Adventures of Sherlock Holmes,E.E. Clive,\Und,"R:inspector ""Bristol"""
1344,T:The Adventures of Sherlock Holmes,Henry Stephenson,\Und,"RN:""Sir Ramsgate"""
1345,T:The Adventures of Sherlock Holmes,Mary Gordon,\Und,"R:landlady ""Mrs.~Hudson"""
1346,T:College Confidential,Steve Allen,\Vil,"R:immoral professor, arrested"
1347,T:College Confidential,Jayne Meadows,\Und,R:wife
1348,T:College Confidential,Mamie vanDoren,\Und,R:admired
1349,T:College Confidential,Conway Twitty,\Und,R:singer
1350,T:College Confidential,Walter Winchell,\Und,"R:gossip collumnist ""Walter Winchell"""
